# SYNTHETIC cryo-EM 3DVA sample -- NOT real data (see data/README.md).
# A Gaussian density blob slides along z; t[p] is the hidden coordinate.
24 6 216    # N G D
-0.000468 0.006890 0.016235 0.020361 0.010607 0.006798 0.008880 0.026814 0.063606 0.062702 0.031337 0.009780 0.010766 0.067409 0.123090 0.130004 0.064433 0.018931 0.011542 0.062095 0.125857 0.126906 0.064771 0.017507 0.012210 0.028944 0.062543 0.058989 0.029554 0.004122 0.003323 0.011953 0.013476 0.018045 0.012290 0.002224 0.003149 0.032386 0.057962 0.056777 0.030917 0.011709 0.029765 0.108359 0.227525 0.227154 0.108406 0.032422 0.051856 0.229872 0.455181 0.447802 0.222189 0.057891 0.054683 0.222362 0.453978 0.451340 0.229458 0.060406 0.026935 0.112203 0.225438 0.222099 0.109094 0.032893 0.006937 0.026471 0.058471 0.052065 0.024122 0.002512 0.014836 0.048390 0.098848 0.102678 0.045375 0.014731 0.049188 0.201663 0.400964 0.402353 0.202480 0.050827 0.105400 0.401102 0.811413 0.805762 0.404552 0.097067 0.100845 0.406876 0.811739 0.812492 0.405906 0.099197 0.054877 0.201869 0.403449 0.404917 0.200693 0.046212 0.014271 0.055210 0.096617 0.100223 0.046351 0.013251 0.008241 0.049293 0.090881 0.093624 0.040811 0.014734 0.040262 0.181221 0.357151 0.359305 0.183785 0.041050 0.088403 0.363550 0.723005 0.723036 0.361584 0.084890 0.085737 0.362793 0.725950 0.724731 0.359675 0.087951 0.043490 0.183994 0.361430 0.362750 0.176536 0.048685 0.010083 0.047587 0.087961 0.093559 0.040851 0.012744 0.005924 0.015071 0.035072 0.042583 0.018300 0.003902 0.022116 0.083052 0.158463 0.160219 0.077128 0.017638 0.038914 0.164091 0.318361 0.325667 0.158869 0.037355 0.035261 0.164440 0.317093 0.323754 0.161512 0.040336 0.022634 0.080935 0.157892 0.161174 0.077286 0.023259 0.002323 0.023797 0.043036 0.040252 0.020318 0.000201 -0.000711 0.007608 0.013530 0.005852 0.002070 0.001541 0.007837 0.020496 0.037602 0.034806 0.018155 0.007109 0.008600 0.033064 0.068159 0.071652 0.033163 0.013247 0.011214 0.035669 0.070005 0.066957 0.034501 0.006842 0.005375 0.021785 0.033921 0.040440 0.021270 0.000342 0.004955 0.001156 0.007618 0.009006 0.006873 -0.002078   # volume 10
0.004341 0.002557 0.017637 0.011597 0.010403 0.000703 0.008853 0.028631 0.055642 0.050270 0.030611 0.011416 0.009298 0.050911 0.106648 0.106873 0.056473 0.010983 0.011220 0.052859 0.100387 0.109583 0.053619 0.015395 0.010923 0.025566 0.052781 0.053335 0.021634 0.007314 0.002771 0.006207 0.016639 0.014683 0.007553 0.000276 0.003194 0.023675 0.048150 0.051228 0.028578 0.009422 0.027054 0.104235 0.199526 0.206967 0.099656 0.029596 0.055644 0.206900 0.403927 0.411020 0.206155 0.051010 0.048716 0.201798 0.405654 0.404563 0.199060 0.048095 0.022271 0.100354 0.204069 0.204741 0.097743 0.022856 0.006872 0.023295 0.051829 0.050117 0.025541 0.005039 0.008393 0.047298 0.101570 0.102303 0.044640 0.015521 0.046707 0.191935 0.395141 0.395236 0.199997 0.046500 0.094359 0.387909 0.785543 0.784241 0.392148 0.096232 0.097328 0.395176 0.780210 0.785474 0.388167 0.095266 0.051819 0.195236 0.389761 0.394618 0.190864 0.051248 0.016649 0.050999 0.096160 0.096575 0.046626 0.009766 0.007607 0.049149 0.093958 0.098537 0.043336 0.014391 0.042729 0.188813 0.373513 0.380289 0.189237 0.042079 0.097619 0.376696 0.757604 0.757072 0.373893 0.089759 0.090823 0.378851 0.757100 0.753977 0.372284 0.094883 0.042823 0.183610 0.380952 0.377571 0.185758 0.046367 0.014547 0.042403 0.095043 0.092175 0.045019 0.016392 0.002847 0.024872 0.049304 0.048381 0.022713 0.005800 0.021076 0.089351 0.185037 0.179497 0.086446 0.023823 0.043869 0.176452 0.359061 0.359697 0.176845 0.045228 0.045731 0.182459 0.361439 0.366484 0.182198 0.041360 0.023653 0.085969 0.181475 0.179569 0.089448 0.024233 0.006527 0.024309 0.050119 0.043492 0.021728 0.003828 -0.003575 0.009821 0.014988 0.009094 0.002044 0.003798 0.001172 0.020032 0.047153 0.046814 0.023397 0.009182 0.014875 0.038911 0.087536 0.091261 0.038996 0.010336 0.009193 0.040366 0.085744 0.089567 0.046309 0.013112 0.006046 0.017726 0.045025 0.042829 0.025865 0.007169 -0.000809 0.004699 0.006946 0.011011 0.002964 -0.003593   # volume 11
0.000724 0.006008 0.009355 0.015703 0.002112 -0.001312 0.002640 0.026070 0.046021 0.044299 0.019059 0.007087 0.010271 0.048456 0.085608 0.090554 0.042967 0.006758 0.007041 0.044169 0.087844 0.084147 0.040865 0.010773 0.000866 0.020818 0.047631 0.045052 0.018195 0.004958 -0.000607 0.010093 0.010339 0.011577 0.008298 0.000857 0.002038 0.019522 0.045022 0.042845 0.024277 0.003176 0.024021 0.087862 0.181401 0.179293 0.093073 0.023146 0.049489 0.183295 0.360960 0.365821 0.177854 0.048168 0.045739 0.176566 0.358494 0.364991 0.180183 0.046593 0.020307 0.092911 0.185892 0.177840 0.085912 0.023810 0.005340 0.019849 0.049744 0.049585 0.023794 0.007709 0.010118 0.049289 0.093701 0.089639 0.042338 0.016221 0.048744 0.185720 0.381605 0.373512 0.184893 0.050633 0.093086 0.372453 0.753223 0.750922 0.372718 0.090291 0.093965 0.374077 0.755308 0.751474 0.372495 0.097641 0.043045 0.189033 0.379126 0.376790 0.184435 0.051522 0.009571 0.042055 0.089172 0.090819 0.042844 0.014378 0.014201 0.047330 0.094566 0.094016 0.050455 0.007232 0.052861 0.191786 0.394311 0.389212 0.195617 0.048688 0.101765 0.396240 0.787046 0.781737 0.392496 0.093132 0.095857 0.395054 0.786275 0.782262 0.395952 0.101742 0.048108 0.190785 0.392452 0.394670 0.195672 0.046477 0.013335 0.044890 0.102477 0.099093 0.046750 0.016329 0.005448 0.029962 0.054450 0.049138 0.029719 0.002426 0.028372 0.098400 0.207919 0.206474 0.099895 0.028396 0.047612 0.206753 0.407628 0.403433 0.206016 0.051785 0.054221 0.198261 0.402839 0.403277 0.198219 0.051294 0.022551 0.098627 0.206746 0.207993 0.098102 0.027425 0.011062 0.026669 0.051008 0.052107 0.026356 0.001883 -0.002891 0.006929 0.010309 0.016745 0.003465 0.006522 0.003510 0.023110 0.055815 0.053372 0.026255 0.005018 0.014237 0.052661 0.104352 0.108613 0.053486 0.014406 0.014131 0.055036 0.101954 0.107713 0.050772 0.012281 0.005523 0.023724 0.049080 0.054977 0.025963 0.008547 0.004976 0.005304 0.012826 0.015073 0.003615 -0.002399   # volume 12
-0.003106 0.000896 0.012998 0.010821 0.006894 -0.003871 0.006780 0.015696 0.034548 0.039373 0.019303 0.000023 0.011123 0.031132 0.074697 0.072880 0.039454 0.004489 0.005953 0.036647 0.073012 0.073396 0.037657 0.004405 0.006814 0.020919 0.035906 0.031515 0.022292 -0.000282 0.003080 0.003358 0.011280 0.009288 0.007375 0.004343 0.000896 0.022062 0.043882 0.037512 0.018887 0.006067 0.023895 0.075685 0.162077 0.157535 0.080444 0.018952 0.039949 0.164962 0.321090 0.324870 0.162405 0.037121 0.039348 0.163634 0.326077 0.323282 0.163615 0.040730 0.020233 0.077608 0.156385 0.156947 0.083658 0.024232 0.008628 0.017199 0.043213 0.035300 0.020030 0.008993 0.006485 0.046837 0.091236 0.092594 0.048076 0.007888 0.040924 0.176286 0.362731 0.361493 0.181141 0.045290 0.086092 0.363396 0.718123 0.722554 0.362630 0.094283 0.085175 0.364410 0.722599 0.719637 0.356964 0.090673 0.046414 0.180670 0.363759 0.361890 0.181916 0.040444 0.007226 0.042968 0.092508 0.085752 0.045857 0.014870 0.008164 0.048677 0.099315 0.103767 0.054397 0.016487 0.046119 0.200304 0.402895 0.400632 0.202414 0.049710 0.104444 0.402551 0.810991 0.811023 0.407382 0.100201 0.098199 0.407741 0.803197 0.805890 0.400012 0.096095 0.048747 0.203257 0.400026 0.407777 0.197884 0.052903 0.014333 0.051166 0.100601 0.098889 0.050996 0.010464 0.010910 0.023753 0.059831 0.051868 0.031915 0.011176 0.027475 0.115186 0.222880 0.228284 0.115859 0.028593 0.055517 0.222758 0.447885 0.448887 0.223785 0.054610 0.060318 0.225202 0.449012 0.452001 0.221189 0.057095 0.030751 0.114869 0.230623 0.229174 0.113499 0.023170 0.006400 0.026332 0.052436 0.060619 0.029630 0.006615 0.002602 0.004792 0.014053 0.013619 0.009402 0.004731 0.003743 0.028092 0.063930 0.061275 0.035193 0.006436 0.016319 0.063670 0.130619 0.121924 0.063438 0.020279 0.012551 0.063196 0.124660 0.130772 0.066624 0.012621 0.003843 0.031842 0.059337 0.063473 0.032705 0.011149 0.006032 0.008863 0.014858 0.011445 0.011595 -0.000592   # volume 13
-0.002379 0.000785 0.009977 0.004714 -0.000533 0.004335 0.000943 0.011985 0.027361 0.027183 0.017458 0.001065 0.006693 0.025978 0.062007 0.056881 0.030714 0.007359 0.010216 0.032126 0.055028 0.056713 0.026898 0.007194 -0.001173 0.015489 0.031661 0.030554 0.011451 0.002129 0.001992 0.000440 0.010611 0.010864 0.000951 -0.003561 0.008685 0.013190 0.032919 0.035971 0.020005 0.003386 0.019411 0.069936 0.144474 0.137336 0.069185 0.013557 0.035711 0.140283 0.282849 0.282658 0.138392 0.031043 0.039653 0.142017 0.282555 0.283473 0.136358 0.038991 0.017348 0.071355 0.136512 0.136707 0.073353 0.017661 -0.000148 0.017434 0.035060 0.035674 0.018055 0.009186 0.011089 0.039695 0.085704 0.083111 0.042154 0.010196 0.046796 0.167046 0.345970 0.343643 0.175078 0.045172 0.080561 0.343700 0.685301 0.680022 0.344363 0.086820 0.082675 0.343923 0.685497 0.679724 0.342498 0.082322 0.040021 0.175224 0.346271 0.337154 0.169824 0.038850 0.006236 0.047105 0.080550 0.086533 0.038063 0.011254 0.016963 0.052981 0.105013 0.101090 0.055321 0.013074 0.048829 0.207894 0.414472 0.412254 0.205210 0.049990 0.100731 0.409697 0.827513 0.829113 0.407995 0.098032 0.105293 0.411364 0.825823 0.821504 0.407726 0.097957 0.054271 0.210045 0.410023 0.416408 0.201929 0.046974 0.012989 0.047785 0.103734 0.107418 0.055162 0.015738 0.007227 0.034914 0.064133 0.057609 0.032829 0.011356 0.032678 0.122626 0.252490 0.245734 0.122012 0.034923 0.063986 0.245364 0.500889 0.500475 0.253513 0.064077 0.060976 0.244731 0.501839 0.495507 0.244635 0.058392 0.027965 0.123139 0.253546 0.244421 0.126474 0.029395 0.007723 0.027227 0.064830 0.066376 0.034858 0.005018 0.004243 0.010009 0.016369 0.014435 0.005161 0.007242 0.011093 0.039808 0.074497 0.071817 0.033268 0.012215 0.014650 0.076656 0.149213 0.153215 0.074040 0.021676 0.022697 0.077977 0.148541 0.145677 0.072171 0.019229 0.008291 0.038061 0.076009 0.072823 0.033817 0.012068 0.002484 0.006710 0.021860 0.019949 0.010028 0.001595   # volume 14
0.005303 0.003115 0.003044 0.004828 -0.001133 0.000460 0.006662 0.010821 0.022381 0.027377 0.014045 0.000599 0.004362 0.022761 0.047109 0.042160 0.020594 0.001216 0.007688 0.027472 0.046911 0.043719 0.020730 0.007430 0.006449 0.012148 0.023866 0.026139 0.011558 0.001126 -0.000586 -0.000406 0.002502 0.003310 0.007553 -0.004262 0.000276 0.011963 0.029438 0.034814 0.014903 0.000962 0.011224 0.058073 0.118145 0.120846 0.057942 0.017036 0.034916 0.125334 0.246285 0.246810 0.124877 0.029678 0.028266 0.127517 0.244355 0.245077 0.118801 0.026699 0.014447 0.058261 0.127074 0.127481 0.065751 0.011665 0.005507 0.018725 0.025696 0.027603 0.018064 -0.001103 0.005102 0.040738 0.080088 0.084088 0.035699 0.013210 0.040935 0.161923 0.318661 0.317280 0.160691 0.036427 0.080854 0.319270 0.643653 0.640566 0.325694 0.079680 0.080138 0.317947 0.644124 0.637615 0.324702 0.078278 0.035765 0.161900 0.323696 0.319141 0.163928 0.037406 0.006885 0.042611 0.083148 0.084025 0.036826 0.010194 0.013032 0.054261 0.099276 0.106747 0.053642 0.015815 0.050975 0.207763 0.418127 0.421089 0.205664 0.050127 0.103875 0.422551 0.835287 0.838580 0.419631 0.108588 0.104019 0.420116 0.841439 0.840076 0.417828 0.099858 0.055100 0.211353 0.419786 0.419373 0.210729 0.048298 0.013224 0.053666 0.105317 0.108601 0.047221 0.013493 0.013029 0.035089 0.065694 0.065237 0.036437 0.007839 0.036578 0.138815 0.270326 0.267897 0.134990 0.036848 0.064333 0.269138 0.541800 0.544154 0.273100 0.064816 0.069560 0.273950 0.545635 0.539038 0.270232 0.068478 0.035145 0.132707 0.267901 0.273061 0.131087 0.035897 0.010536 0.034633 0.069631 0.064775 0.031026 0.010132 0.000466 0.011074 0.017977 0.018559 0.009983 -0.001239 0.012276 0.042743 0.084564 0.088808 0.042476 0.014707 0.022726 0.090661 0.180404 0.173365 0.084622 0.026126 0.018264 0.090621 0.177361 0.172741 0.091202 0.020965 0.013534 0.044058 0.089375 0.085817 0.048436 0.011529 0.006153 0.014433 0.026376 0.018623 0.014877 -0.001966   # volume 15
-0.000831 -0.001205 0.000968 0.008975 0.007335 0.003022 -0.000811 0.013621 0.022893 0.014023 0.008042 0.001116 0.007313 0.016383 0.042297 0.040904 0.019967 0.007913 0.005252 0.019018 0.033203 0.033569 0.021149 0.008661 0.001035 0.006725 0.019202 0.014696 0.008871 0.000193 0.003735 0.002630 0.000839 0.004675 0.000239 0.001900 0.002887 0.017627 0.029216 0.028109 0.011602 -0.000876 0.009453 0.052836 0.110035 0.106632 0.055325 0.016498 0.030607 0.104726 0.213882 0.210022 0.106540 0.026117 0.026402 0.108100 0.210000 0.210798 0.105009 0.029823 0.011334 0.053290 0.106195 0.102591 0.054193 0.012427 0.005130 0.011012 0.027009 0.026993 0.013492 0.008174 0.005838 0.037423 0.077861 0.076943 0.038926 0.004791 0.035174 0.146337 0.300962 0.300898 0.148029 0.036079 0.071144 0.303214 0.601489 0.600627 0.297007 0.073014 0.070987 0.300693 0.602284 0.596426 0.298839 0.076698 0.041049 0.146114 0.294642 0.296902 0.150638 0.034634 0.007471 0.039024 0.071693 0.073754 0.041010 0.010071 0.009535 0.055665 0.104257 0.107462 0.050482 0.017275 0.052120 0.209731 0.416972 0.415239 0.204621 0.056849 0.100127 0.419506 0.838907 0.839222 0.417960 0.107391 0.103180 0.420185 0.835877 0.836511 0.419206 0.107527 0.051433 0.214106 0.419517 0.418901 0.214172 0.051230 0.011483 0.052655 0.101175 0.106831 0.056937 0.015472 0.005535 0.032237 0.075927 0.075898 0.034801 0.010342 0.040679 0.144903 0.293298 0.292340 0.143184 0.039095 0.074801 0.298473 0.589870 0.587181 0.291693 0.072807 0.078023 0.293811 0.593554 0.593273 0.297164 0.075936 0.035551 0.147645 0.289573 0.292505 0.145383 0.034246 0.009390 0.038672 0.074752 0.070102 0.033716 0.012981 0.001934 0.015147 0.028267 0.025374 0.016870 0.007597 0.011797 0.054840 0.104721 0.102220 0.051234 0.017089 0.028210 0.103637 0.201509 0.207781 0.102534 0.025483 0.025254 0.099590 0.202538 0.207115 0.102024 0.028002 0.009883 0.054596 0.106000 0.104520 0.050049 0.011227 -0.001026 0.011300 0.027316 0.027998 0.010547 -0.000425   # volume 16
0.002601 -0.002586 0.006323 0.006643 -0.002668 0.003062 0.002474 0.012082 0.019248 0.017708 0.004049 0.000397 0.005921 0.014914 0.026947 0.034509 0.012806 0.004277 0.005355 0.017623 0.025738 0.029856 0.013734 0.008194 0.006198 0.009106 0.017984 0.012044 0.010162 -0.000855 0.001559 0.005293 0.004056 0.006769 0.001888 0.004464 0.000595 0.008272 0.018984 0.019640 0.008072 0.002292 0.008351 0.042934 0.093373 0.095206 0.041764 0.010201 0.024304 0.088070 0.184612 0.182627 0.086941 0.019201 0.026113 0.089892 0.178071 0.179875 0.086147 0.019417 0.012459 0.041539 0.089928 0.086200 0.046930 0.014963 0.004095 0.012308 0.024372 0.024918 0.011005 0.006248 0.013459 0.038876 0.065151 0.069786 0.037521 0.003618 0.037955 0.138818 0.276916 0.278123 0.134736 0.032085 0.066173 0.275733 0.555236 0.549306 0.276727 0.066180 0.069307 0.277167 0.552579 0.553263 0.277912 0.073580 0.038601 0.137197 0.279575 0.275774 0.136499 0.030557 0.011790 0.034521 0.073312 0.070492 0.030652 0.006666 0.014248 0.050003 0.103506 0.105043 0.056240 0.015228 0.050448 0.207799 0.416411 0.421311 0.208346 0.054010 0.101687 0.420828 0.837306 0.837497 0.421667 0.107792 0.109108 0.422634 0.840848 0.834873 0.418701 0.101199 0.050260 0.213102 0.417263 0.415398 0.210813 0.056962 0.013897 0.056712 0.100910 0.104994 0.050227 0.010434 0.006620 0.039595 0.075868 0.078073 0.043828 0.008326 0.039130 0.153594 0.312112 0.320963 0.162667 0.038591 0.080699 0.319378 0.631574 0.638504 0.314520 0.078097 0.082191 0.317926 0.632115 0.632999 0.314618 0.076889 0.043961 0.156412 0.312620 0.318943 0.160292 0.043314 0.009743 0.038434 0.078149 0.081995 0.039146 0.005130 0.004798 0.010459 0.026530 0.030277 0.010529 -0.000997 0.015363 0.061929 0.116741 0.117460 0.054979 0.011229 0.025251 0.122646 0.239678 0.242691 0.115151 0.032085 0.031952 0.120309 0.239821 0.235860 0.119628 0.030014 0.019680 0.060558 0.118085 0.121881 0.057570 0.018294 0.004541 0.010322 0.030709 0.031000 0.018612 0.007540   # volume 17
-0.001417 -0.001914 0.006410 0.000931 -0.003327 0.000917 -0.002727 0.003553 0.008690 0.013252 0.002588 0.005321 0.007266 0.013247 0.025004 0.020831 0.010387 0.006696 0.005676 0.014365 0.027536 0.021143 0.014504 0.006210 0.006386 0.004696 0.013205 0.010958 0.000976 0.001527 0.003927 -0.001744 -0.001921 0.003503 0.003621 0.002284 0.006968 0.005106 0.022033 0.015788 0.009556 0.004193 0.014097 0.034355 0.074691 0.080184 0.034494 0.012302 0.017704 0.082076 0.151108 0.155785 0.079917 0.021552 0.014643 0.073808 0.153287 0.157059 0.077028 0.016673 0.012679 0.043146 0.075989 0.081806 0.037579 0.008965 -0.000472 0.005639 0.016784 0.019391 0.013594 0.001905 0.005794 0.028609 0.066027 0.066230 0.027151 0.007845 0.026807 0.123251 0.253631 0.257284 0.130716 0.034017 0.060139 0.249632 0.511267 0.502466 0.254883 0.064211 0.063885 0.255723 0.509640 0.511595 0.253886 0.058750 0.034422 0.121732 0.254220 0.251801 0.125832 0.035982 0.009738 0.033786 0.063187 0.058475 0.029750 0.009462 0.011575 0.055896 0.101947 0.106132 0.047301 0.009744 0.054932 0.208328 0.410528 0.417437 0.207882 0.054209 0.107783 0.412620 0.825305 0.826592 0.413213 0.100882 0.104392 0.416895 0.829399 0.829228 0.412024 0.107553 0.050497 0.207789 0.417020 0.412814 0.207698 0.051237 0.016578 0.049714 0.107405 0.108129 0.046638 0.011406 0.007021 0.040275 0.085843 0.083261 0.037163 0.011527 0.045575 0.168274 0.339857 0.341489 0.166241 0.042022 0.082668 0.336889 0.676860 0.679781 0.335849 0.083142 0.080192 0.342020 0.673867 0.671412 0.337397 0.087869 0.043990 0.167081 0.337081 0.338661 0.166639 0.040431 0.012941 0.046722 0.079525 0.087543 0.041347 0.011871 0.002088 0.014340 0.036316 0.031296 0.013451 0.004137 0.016432 0.072785 0.139330 0.140263 0.069899 0.016183 0.034938 0.139705 0.277795 0.272072 0.140008 0.030523 0.032032 0.135532 0.274113 0.270651 0.140972 0.034979 0.021807 0.067590 0.135942 0.133982 0.064535 0.014888 0.002772 0.018933 0.038597 0.038474 0.019676 0.007846   # volume 18
0.003277 0.005912 0.007300 0.001105 0.001790 -0.001374 0.002381 0.007033 0.013307 0.013052 0.003516 -0.003703 0.002765 0.012376 0.015594 0.022064 0.013618 0.001336 0.001924 0.006849 0.014819 0.017123 0.009908 0.005519 0.003578 0.001514 0.012709 0.009350 0.002024 -0.002355 -0.004319 -0.001261 -0.002595 0.004857 -0.003657 0.003583 0.005831 0.012362 0.016945 0.019022 0.004017 -0.001303 0.005715 0.032302 0.068962 0.065066 0.035658 0.008231 0.012512 0.068271 0.129971 0.135305 0.069091 0.013223 0.011911 0.062801 0.130717 0.127216 0.065785 0.018611 0.011148 0.033813 0.060623 0.061373 0.033692 0.010260 -0.000642 0.006599 0.015134 0.012775 0.006815 0.004481 0.011290 0.032856 0.060923 0.054817 0.026103 0.009376 0.023954 0.111733 0.228594 0.226620 0.115914 0.024371 0.053698 0.231465 0.460852 0.457448 0.234791 0.059898 0.055375 0.231224 0.461490 0.459256 0.232031 0.052485 0.023859 0.112512 0.226092 0.226778 0.116479 0.027394 0.011044 0.026507 0.055005 0.057234 0.032180 0.008587 0.012684 0.049554 0.098990 0.102570 0.050850 0.015908 0.050630 0.198849 0.406599 0.401935 0.201527 0.051038 0.103869 0.406407 0.808283 0.817100 0.407726 0.101014 0.099739 0.404892 0.809480 0.810109 0.407799 0.102270 0.046252 0.204672 0.409966 0.404642 0.198317 0.047691 0.009038 0.051894 0.104470 0.102703 0.049957 0.013552 0.008662 0.047475 0.088265 0.092294 0.048198 0.006107 0.043140 0.182764 0.358711 0.354554 0.175612 0.044020 0.093071 0.358115 0.718534 0.717029 0.360077 0.086773 0.083999 0.353999 0.718178 0.710046 0.354667 0.089321 0.043544 0.178186 0.359905 0.359993 0.180291 0.048158 0.014320 0.045428 0.090161 0.089000 0.042451 0.016029 0.003220 0.016866 0.042906 0.036336 0.020105 0.004657 0.015872 0.074805 0.152009 0.157221 0.079782 0.017316 0.043864 0.153236 0.313512 0.315190 0.153051 0.035046 0.040783 0.156328 0.312402 0.316113 0.153397 0.038616 0.024323 0.080379 0.153596 0.152896 0.076421 0.023404 0.007703 0.020302 0.036038 0.040337 0.018345 0.005749   # volume 19
-0.002278 0.004070 0.001001 0.005789 -0.000878 -0.002048 -0.001019 -0.000206 0.006107 0.006048 0.002572 0.002327 0.003942 0.004299 0.016751 0.013236 0.003483 -0.000019 0.003753 0.006139 0.017150 0.010399 0.009925 0.001922 0.002113 0.002904 0.004482 0.009083 0.003690 0.003215 -0.002062 0.002760 0.004300 0.006464 0.005410 -0.003363 0.000151 0.002825 0.009450 0.012025 0.005721 0.006289 0.009119 0.023756 0.052870 0.055649 0.023548 0.010683 0.018383 0.056346 0.105202 0.106094 0.055523 0.010980 0.011117 0.049742 0.108114 0.105550 0.056672 0.014388 0.003326 0.030968 0.058585 0.055083 0.023466 0.007905 0.004475 0.011534 0.018584 0.014808 0.008143 0.005487 0.010084 0.024536 0.048167 0.049077 0.026038 0.003766 0.025039 0.108070 0.205110 0.205106 0.101235 0.030496 0.049105 0.208294 0.418251 0.418425 0.202871 0.051499 0.056590 0.208851 0.419036 0.412080 0.208390 0.052753 0.025802 0.103121 0.204153 0.203928 0.103692 0.027488 0.002123 0.026492 0.049527 0.053062 0.030737 0.002361 0.013767 0.052177 0.094751 0.102396 0.047826 0.012157 0.047098 0.197494 0.397723 0.397574 0.200438 0.051951 0.098942 0.394353 0.789956 0.788322 0.390004 0.096955 0.098947 0.395779 0.785637 0.786595 0.394727 0.103211 0.048206 0.195332 0.398809 0.390533 0.198669 0.046817 0.010731 0.044897 0.102595 0.101510 0.051934 0.012669 0.015097 0.050323 0.093557 0.092269 0.050213 0.016433 0.047540 0.191696 0.374789 0.376446 0.186689 0.045971 0.090505 0.370897 0.744767 0.752896 0.370942 0.093794 0.094102 0.374649 0.750143 0.744327 0.371828 0.089726 0.048393 0.185189 0.379009 0.375890 0.185426 0.046699 0.014441 0.051530 0.090863 0.097129 0.046114 0.012399 0.001636 0.020140 0.043923 0.041049 0.019263 0.002930 0.024760 0.090322 0.177125 0.181924 0.085999 0.026047 0.040834 0.175161 0.351412 0.354786 0.175024 0.042586 0.044470 0.173707 0.354833 0.353768 0.176164 0.044437 0.025225 0.092552 0.177511 0.180184 0.086095 0.017316 0.008406 0.025260 0.046245 0.042355 0.021339 0.001218   # volume 20
-0.002346 0.001532 0.005752 -0.003236 0.004620 0.004041 -0.001870 0.004624 0.005219 0.002313 0.001047 -0.003314 0.006309 0.002551 0.012283 0.011337 0.009625 0.001499 0.003804 0.004321 0.015696 0.013886 0.004298 0.005216 0.001636 0.005879 0.005074 0.005405 -0.001329 0.003644 0.003700 -0.001997 0.006122 0.004834 -0.001574 0.001088 -0.000949 0.008983 0.007411 0.012437 0.006928 0.006152 0.004280 0.020662 0.046203 0.048055 0.026957 0.006242 0.009004 0.043124 0.094754 0.087221 0.043473 0.013204 0.012476 0.045918 0.086383 0.093459 0.045987 0.012232 0.001118 0.025543 0.046256 0.041711 0.020569 0.006905 0.004030 0.006357 0.009091 0.011257 0.009449 0.000852 0.003207 0.022842 0.048658 0.048210 0.020885 0.005749 0.020983 0.091892 0.185871 0.188913 0.092582 0.027154 0.043469 0.190094 0.371922 0.372382 0.186589 0.046084 0.045915 0.188519 0.373687 0.373159 0.190377 0.043084 0.025009 0.088152 0.181599 0.184201 0.092140 0.021315 0.006056 0.021418 0.051285 0.046096 0.019303 0.005489 0.012429 0.042984 0.099415 0.091465 0.043996 0.014244 0.049936 0.193052 0.383576 0.381470 0.187360 0.051763 0.091001 0.380086 0.763279 0.760185 0.379644 0.098664 0.097012 0.381308 0.758819 0.764009 0.381869 0.094229 0.043125 0.190077 0.385264 0.383533 0.191464 0.050550 0.010720 0.047460 0.092837 0.094200 0.049144 0.014307 0.010092 0.045346 0.099198 0.094118 0.044640 0.012477 0.053307 0.191520 0.391098 0.387455 0.198010 0.045451 0.092448 0.388108 0.774732 0.779565 0.388865 0.100198 0.097306 0.388958 0.777635 0.774759 0.385504 0.100350 0.043876 0.192582 0.390461 0.387117 0.195927 0.051922 0.013442 0.043711 0.098044 0.100174 0.044059 0.012804 0.010566 0.023194 0.053056 0.047329 0.024451 0.007878 0.020298 0.103531 0.199984 0.196741 0.100603 0.020220 0.051683 0.203606 0.398297 0.395871 0.195980 0.051413 0.052808 0.200856 0.393901 0.401632 0.195120 0.054433 0.021336 0.102204 0.198441 0.201014 0.097390 0.027641 0.003031 0.024863 0.053847 0.048539 0.028719 0.004927   # volume 21
