120 4
0.0000 0.0000 0.0000 1 0 0
3.2000 0.0000 0.0000 0 1 0
6.4000 0.0000 0.0000 1 0 1
9.6000 0.0000 0.0000 0 0 0
0.0000 3.2000 0.0000 1 1 0
3.2000 3.2000 0.0000 0 0 1
6.4000 3.2000 0.0000 1 0 0
9.6000 3.2000 0.0000 0 1 0
0.0000 6.4000 0.0000 1 0 1
3.2000 6.4000 0.0000 0 0 0
6.4000 6.4000 0.0000 1 1 0
9.6000 6.4000 0.0000 0 0 1
0.0000 9.6000 0.0000 1 0 0
3.2000 9.6000 0.0000 0 1 0
6.4000 9.6000 0.0000 1 0 1
9.6000 9.6000 0.0000 0 0 0
0.0000 12.8000 0.0000 1 1 0
3.2000 12.8000 0.0000 0 0 1
6.4000 12.8000 0.0000 1 0 0
9.6000 12.8000 0.0000 0 1 0
0.0000 16.0000 0.0000 1 0 1
3.2000 16.0000 0.0000 0 0 0
6.4000 16.0000 0.0000 1 1 0
9.6000 16.0000 0.0000 0 0 1
2.1083 13.9368 1.2396 1 0 1 2
1.9565 14.0403 1.5435 1 0 1 2
2.0985 13.9078 0.6961 1 0 1 2
1.4645 13.3511 1.7866 1 0 1 2
1.7110 13.7861 1.4966 1 0 1 2
1.8914 14.0276 1.9643 1 0 1 2
1.5786 14.3641 2.0220 1 0 1 2
2.1635 13.7649 1.8080 1 0 1 2
0.9434 13.6208 0.8130 1 0 1 2
1.9741 13.5688 1.4955 1 0 1 2
1.5327 13.9900 1.2930 1 0 1 2
1.6818 14.6269 1.5155 1 0 1 2
1.7858 14.3502 1.4307 1 0 1 2
1.1591 13.8056 1.8758 1 0 1 2
1.0238 13.7908 1.8526 1 0 1 2
1.8775 14.0027 1.7818 1 0 1 2
8.0581 13.5874 0.9526 0 0 1 3
7.7764 14.3230 1.3021 0 0 1 3
7.6842 13.7302 0.9639 0 0 1 3
7.9590 13.5871 1.6275 0 0 1 3
7.1740 14.1147 1.2754 0 0 1 3
7.3202 14.2536 1.4036 0 0 1 3
7.2195 13.6937 1.6019 0 0 1 3
7.8395 14.2730 1.7616 0 0 1 3
8.2332 14.1143 1.9668 0 0 1 3
8.2309 14.1579 0.7706 0 0 1 3
8.3138 14.4583 1.3961 0 0 1 3
7.8357 14.6791 0.8847 0 0 1 3
8.1641 14.8483 1.1753 0 0 1 3
8.2414 14.6602 1.4579 0 0 1 3
8.1964 14.3159 1.1830 0 0 1 3
7.9688 14.1025 1.7889 0 0 1 3
7.9879 13.9316 1.1444 0 0 1 3
7.8744 14.3121 1.5356 0 0 1 3
7.7014 13.7054 2.4333 0 0 1 3
8.3990 14.2231 0.5925 0 0 1 3
8.2175 14.1682 2.0894 0 0 1 3
8.1497 13.9764 1.6829 0 0 1 3
7.3195 14.3616 1.6137 0 0 1 3
7.7543 14.4640 2.1333 0 0 1 3
7.5092 13.7668 1.6019 0 0 1 3
8.0642 13.8605 1.1590 0 0 1 3
8.7422 14.3631 1.0820 0 0 1 3
7.5292 14.5961 1.8462 0 0 1 3
8.6373 14.2836 1.1948 0 0 1 3
8.0912 13.2440 1.2382 0 0 1 3
